ID,TestName,Status,Type,US_ID,TC_ID,Artifact,ExecutionTime
1,testDeletePost,PASS,API,US206,Delete a post,"artifacts/api/testDeletePost_20250925_001612.json",2025-09-25 00:16:13
2,testGetSingleUser,PASS,API,US208,Get single user by ID,"artifacts/api/testGetSingleUser_20250925_001614.json",2025-09-25 00:16:14
3,testUpdatePost,PASS,API,US204,Update an existing post,"artifacts/api/testUpdatePost_20250925_001614.json",2025-09-25 00:16:14
4,testGetAllPosts,PASS,API,US201,Get all posts,"artifacts/api/testGetAllPosts_20250925_001614.json",2025-09-25 00:16:14
5,testCreatePost,PASS,API,US203,Create a new post,"artifacts/api/testCreatePost_20250925_001614.json",2025-09-25 00:16:14
6,testGetSinglePost,PASS,API,US202,Get single post by ID,"artifacts/api/testGetSinglePost_20250925_001614.json",2025-09-25 00:16:14
7,testPatchPost,PASS,API,US205,Patch an existing post,"artifacts/api/testPatchPost_20250925_001614.json",2025-09-25 00:16:14
8,testCreateComment,PASS,API,US210,Create a comment,"artifacts/api/testCreateComment_20250925_001614.json",2025-09-25 00:16:14
9,testGetAllUsers,PASS,API,US207,Get all users,"artifacts/api/testGetAllUsers_20250925_001614.json",2025-09-25 00:16:14
10,testGetCommentsForPost,PASS,API,US209,Get comments for a post,"artifacts/api/testGetCommentsForPost_20250925_001614.json",2025-09-25 00:16:15
11,testHomePageTitle,PASS,UI,US101,Verify Home Page Title,"artifacts/screenshots/testHomePageTitle_20250925_001615.png",2025-09-25 00:16:15
12,testHomePageContainsDepartureAndDestination,PASS,UI,US102,Verify Departure and Destination fields exist on Home Page,"artifacts/screenshots/testHomePageContainsDepartureAndDestination_20250925_001615.png",2025-09-25 00:16:15
13,testFlightSelectionPage,PASS,UI,US110,Verify Flight Selection Page UI Elements,"artifacts/screenshots/testFlightSelectionPage_20250925_001615.png",2025-09-25 00:16:15
14,testPurchasePageContainsForm,PASS,UI,US105,Verify Purchase Page Contains Form,"artifacts/screenshots/testPurchasePageContainsForm_20250925_001615.png",2025-09-25 00:16:15
15,testConfirmationPage,PASS,UI,US108,Verify Confirmation Page,"artifacts/screenshots/testConfirmationPage_20250925_001615.png",2025-09-25 00:16:16
16,testNavigateToHomePage,PASS,UI,US109,Navigate to Home Page,"artifacts/screenshots/testNavigateToHomePage_20250925_001616.png",2025-09-25 00:16:16
17,testSelectFirstFlight,PASS,UI,US104,Select First Flight from Flights Page,"artifacts/screenshots/testSelectFirstFlight_20250925_001617.png",2025-09-25 00:16:17
18,testFlightSearchNavigation,PASS,UI,US103,Verify Flight Search Navigation from Home Page,"artifacts/screenshots/testFlightSearchNavigation_20250925_001617.png",2025-09-25 00:16:17
19,testFillPurchaseForm,PASS,UI,US106,Fill Purchase Form,"artifacts/screenshots/testFillPurchaseForm_20250925_001618.png",2025-09-25 00:16:18
20,testPurchaseFlight,PASS,UI,US107,Purchase Flight,"artifacts/screenshots/testPurchaseFlight_20250925_001618.png",2025-09-25 00:16:18
21,testDeletePost,PASS,API,US206,Delete a post,"artifacts/api/testDeletePost_20250925_002301.json",2025-09-25 00:23:03
22,testGetCommentsForPost,PASS,API,US209,Get comments for a post,"artifacts/api/testGetCommentsForPost_20250925_002304.json",2025-09-25 00:23:04
23,testGetSinglePost,PASS,API,US202,Get single post by ID,"artifacts/api/testGetSinglePost_20250925_002304.json",2025-09-25 00:23:04
24,testCreateComment,PASS,API,US210,Create a comment,"artifacts/api/testCreateComment_20250925_002304.json",2025-09-25 00:23:04
25,testGetAllUsers,PASS,API,US207,Get all users,"artifacts/api/testGetAllUsers_20250925_002304.json",2025-09-25 00:23:04
26,testUpdatePost,PASS,API,US204,Update an existing post,"artifacts/api/testUpdatePost_20250925_002304.json",2025-09-25 00:23:04
27,testCreatePost,PASS,API,US203,Create a new post,"artifacts/api/testCreatePost_20250925_002304.json",2025-09-25 00:23:04
28,testGetSingleUser,PASS,API,US208,Get single user by ID,"artifacts/api/testGetSingleUser_20250925_002304.json",2025-09-25 00:23:04
29,testPatchPost,PASS,API,US205,Patch an existing post,"artifacts/api/testPatchPost_20250925_002304.json",2025-09-25 00:23:04
30,testGetAllPosts,PASS,API,US201,Get all posts,"artifacts/api/testGetAllPosts_20250925_002304.json",2025-09-25 00:23:04
31,testFlightSelectionPage,PASS,UI,US110,Verify Flight Selection Page UI Elements,"artifacts/screenshots/testFlightSelectionPage_20250925_002306.png",2025-09-25 00:23:06
32,testNavigateToHomePage,PASS,UI,US109,Navigate to Home Page,"artifacts/screenshots/testNavigateToHomePage_20250925_002306.png",2025-09-25 00:23:06
33,testHomePageTitle,PASS,UI,US101,Verify Home Page Title,"artifacts/screenshots/testHomePageTitle_20250925_002306.png",2025-09-25 00:23:06
34,testPurchasePageContainsForm,PASS,UI,US105,Verify Purchase Page Contains Form,"artifacts/screenshots/testPurchasePageContainsForm_20250925_002306.png",2025-09-25 00:23:06
35,testHomePageContainsDepartureAndDestination,PASS,UI,US102,Verify Departure and Destination fields exist on Home Page,"artifacts/screenshots/testHomePageContainsDepartureAndDestination_20250925_002307.png",2025-09-25 00:23:07
36,testConfirmationPage,PASS,UI,US108,Verify Confirmation Page,"artifacts/screenshots/testConfirmationPage_20250925_002307.png",2025-09-25 00:23:07
37,testSelectFirstFlight,PASS,UI,US104,Select First Flight from Flights Page,"artifacts/screenshots/testSelectFirstFlight_20250925_002307.png",2025-09-25 00:23:07
38,testFlightSearchNavigation,PASS,UI,US103,Verify Flight Search Navigation from Home Page,"artifacts/screenshots/testFlightSearchNavigation_20250925_002308.png",2025-09-25 00:23:08
39,testPurchaseFlight,PASS,UI,US107,Purchase Flight,"artifacts/screenshots/testPurchaseFlight_20250925_002309.png",2025-09-25 00:23:09
40,testFillPurchaseForm,PASS,UI,US106,Fill Purchase Form,"artifacts/screenshots/testFillPurchaseForm_20250925_002309.png",2025-09-25 00:23:09
